case_id,collision_severity,latitude,longitude,population,lighting,collision_time,intersection,location_type,road_surface,road_condition_1,weather_1,at_fault,financial_responsibility,party_age,party_sex,party_drug_physical,cellphone_in_use,vehicle_make,vehicle_year,party_sex_value,collision_severity_value,population_value,lighting_value,road_surface_value,weather_1_value,vehicle_make_norm,location_type_value,road_condition_1_value,financial_responsibility_value,party_drug_physical_value,alcohol_involved_value,ClusterNumber
4967701,property damage only,33.88768,-118.10581,50000 to 100000,dark with street lights,23:40:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,54,female,not applicable,0,toyota,2003,2,1,6,4,1,1,toyota,2,1,1,1,0,1
4967954,pain,33.06654,-117.0691,100000 to 250000,daylight,10:33:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,19,male,not applicable,0,nissan,2000,1,2,7,5,1,2,nissan,1,1,1,1,0,1
4968529,property damage only,36.83678,-119.70197,50000 to 100000,daylight,09:22:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,21,male,sleepy/fatigued,0,kia,2001,1,1,6,5,1,1,kia,2,1,1,3,0,1
4968546,property damage only,34.1894,-118.93915,100000 to 250000,daylight,09:50:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,52,male,not applicable,0,ford,2004,1,1,7,5,1,1,ford,2,1,1,1,0,1
4968625,pain,36.96333,-120.06679,25000 to 50000,daylight,11:07:00,0,highway,wet,normal,cloudy,1,proof of insurance obtained,44,male,not applicable,0,toyota,1997,1,2,5,5,2,2,toyota,1,1,1,1,0,1
4968684,property damage only,33.92313,-118.1045,100000 to 250000,daylight,18:00:00,0,highway,wet,normal,raining,1,proof of insurance obtained,49,male,not applicable,0,peterbilt,2007,1,1,7,5,2,4,peterbilt,1,1,1,1,0,1
4968704,pain,34.0009,-118.06722,unincorporated,daylight,12:05:00,0,highway,wet,normal,cloudy,1,proof of insurance obtained,45,male,not applicable,0,freightliner,1991,1,2,1,5,2,2,freightliner,1,1,1,1,0,1
4968786,property damage only,33.93576,-118.09926,10000 to 25000,daylight,11:15:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,53,male,not applicable,0,freightliner,1998,1,1,4,5,1,2,freightliner,1,1,1,1,0,1
4968819,pain,32.80232,-117.11252,>250000,dark with no street lights,18:25:00,0,highway,dry,normal,clear,1,proof of insurance obtained,44,male,not applicable,0,acura,1993,1,2,8,1,1,1,acura,1,1,1,1,0,1
4968970,property damage only,34.06125,-118.16646,50000 to 100000,dark with street lights,17:35:00,0,highway,dry,normal,clear,1,proof of insurance obtained,23,male,not applicable,0,toyota,2008,1,1,6,4,1,1,toyota,1,1,1,1,0,1
4969265,property damage only,33.80054,-118.11392,>250000,daylight,09:17:00,0,highway,dry,normal,clear,1,proof of insurance obtained,75,male,not applicable,0,audi,2004,1,1,8,5,1,1,audi,1,1,1,1,0,1
4969533,other injury,36.7077,-119.77455,>250000,daylight,13:10:00,0,highway,wet,normal,cloudy,1,proof of insurance obtained,18,male,not applicable,0,chevrolet,2003,1,3,8,5,2,2,chevrolet,1,1,1,1,0,1
